task_id,team,role,user_id,task_name,description,priority,expected_duration,completion_time
1293,Engineering,Backend Engineer,101,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,3,6.48
1294,Engineering,QA Engineer,102,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,2,1.25
1295,Marketing,SEO Specialist,45,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,6,7.62
1296,Engineering,QA Engineer,69,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,4,2.95
1297,Marketing,Content Writer,31,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,8,10.46
1298,Finance,Accountant,98,Invoice processing,Invoice processing for finance team by accountant.,Low,8,8.11
1299,Marketing,SEO Specialist,47,Competitor research,Competitor research for marketing team by seo specialist.,Low,4,0.5
1300,Customer Support,Technical Support,126,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,1,1.52
1301,Engineering,QA Engineer,159,Database schema update,Database schema update for engineering team by qa engineer.,Medium,7,9.27
1302,Engineering,QA Engineer,63,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,3,3.82
1303,Operations,Logistics Coordinator,151,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,5,2.44
1304,Engineering,Data Engineer,102,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,3,4.63
1305,Engineering,Frontend Engineer,70,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,4,6.83
1306,Engineering,Backend Engineer,80,Integration testing,Integration testing for engineering team by backend engineer.,Low,8,5.12
1307,Engineering,Frontend Engineer,122,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,6,5.14
1308,Marketing,Content Writer,84,Competitor research,Competitor research for marketing team by content writer.,Low,3,8.04
1309,Engineering,Frontend Engineer,119,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,8,7.69
1310,Operations,Logistics Coordinator,57,Process documentation,Process documentation for operations team by logistics coordinator.,Low,1,0.5
1311,Marketing,Social Media Manager,67,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,7,9.63
1312,Engineering,Data Engineer,80,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,4,2.46
1313,Finance,Accountant,6,Variance analysis,Variance analysis for finance team by accountant.,Medium,6,0.5
1314,Engineering,Backend Engineer,34,Integration testing,Integration testing for engineering team by backend engineer.,Low,1,0.5
1315,Engineering,Backend Engineer,100,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,6,7.85
1316,Engineering,QA Engineer,66,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,5,3.6
1317,Engineering,Backend Engineer,125,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,3,7.45
1318,Engineering,Frontend Engineer,179,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,2,0.5
1319,Engineering,Data Engineer,38,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,7,7.97
1320,Engineering,Backend Engineer,72,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,4,3.26
1321,Customer Support,Technical Support,91,Escalate request,Escalate request for customer support team by technical support.,Low,3,8.09
1322,Engineering,Data Engineer,166,Integration testing,Integration testing for engineering team by data engineer.,Low,3,2.58
1323,Engineering,Backend Engineer,30,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,3,0.5
1324,Engineering,Backend Engineer,176,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,4,4.89
1325,Customer Support,Support Agent,168,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,7,4.45
1326,Engineering,QA Engineer,104,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,3,1.7
1327,Finance,Accountant,165,Create budget forecast,Create budget forecast for finance team by accountant.,Low,1,0.5
1328,Marketing,Content Writer,83,Competitor research,Competitor research for marketing team by content writer.,Low,6,6.37
1329,Engineering,Data Engineer,117,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,8,5.26
1330,Operations,Logistics Coordinator,3,Process documentation,Process documentation for operations team by logistics coordinator.,Low,2,1.57
1331,Engineering,QA Engineer,199,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,4,0.5
1332,Marketing,Content Writer,31,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,2,7.52
1333,Operations,Operations Associate,107,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,4,11.33
1334,Engineering,QA Engineer,96,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,7,7.19
1335,Operations,Logistics Coordinator,151,Process documentation,Process documentation for operations team by logistics coordinator.,Low,7,11.08
1336,Operations,Logistics Coordinator,2,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,2,2.59
1337,Customer Support,Technical Support,23,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,1,6.4
1338,Operations,Operations Associate,66,Process documentation,Process documentation for operations team by operations associate.,Low,2,5.9
1339,Marketing,Social Media Manager,100,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,3,0.5
1340,Marketing,Content Writer,162,Write blog post,Write blog post for marketing team by content writer.,Low,6,6.7
1341,Operations,Operations Associate,178,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,4,6.97
1342,Operations,Operations Associate,92,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,7,12.84
1343,Marketing,SEO Specialist,87,Email campaign setup,Email campaign setup for marketing team by seo specialist.,Medium,4,9.04
1344,Engineering,Frontend Engineer,45,Refactor UI component,Refactor UI component for engineering team by frontend engineer.,Low,1,2.26
1345,Engineering,QA Engineer,42,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,2,3.29
1346,Engineering,Frontend Engineer,20,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,7,4.3
1347,Engineering,Data Engineer,14,Write unit tests,Write unit tests for engineering team by data engineer.,Low,6,7.52
1348,Customer Support,Technical Support,126,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,7,7.11
1349,Operations,Logistics Coordinator,13,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,6,5.77
1350,Operations,Logistics Coordinator,113,Process documentation,Process documentation for operations team by logistics coordinator.,Low,1,2.21
1351,Finance,Accountant,46,Variance analysis,Variance analysis for finance team by accountant.,Medium,6,7.31
1352,Operations,Operations Associate,199,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,5,6.61
1353,Marketing,Content Writer,154,Competitor research,Competitor research for marketing team by content writer.,Low,4,2.37
1354,Engineering,Data Engineer,182,Write unit tests,Write unit tests for engineering team by data engineer.,Low,3,1.52
1355,Marketing,SEO Specialist,141,Competitor research,Competitor research for marketing team by seo specialist.,Low,7,5.64
1356,Engineering,Frontend Engineer,5,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,7,15.22
1357,Engineering,Data Engineer,133,Integration testing,Integration testing for engineering team by data engineer.,Low,7,6.45
1358,Engineering,Backend Engineer,130,Database schema update,Database schema update for engineering team by backend engineer.,Medium,2,6.7
1359,Operations,Logistics Coordinator,103,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7,3.47
1360,Engineering,Backend Engineer,48,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,1,0.5
1361,Engineering,QA Engineer,17,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,2,2.12
1362,Engineering,Data Engineer,169,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,4,0.5
1363,Marketing,Content Writer,97,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,4,3.74
1364,Engineering,Frontend Engineer,115,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,2,0.5
1365,Engineering,Backend Engineer,94,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,6,13.27
1366,Engineering,Data Engineer,66,Integration testing,Integration testing for engineering team by data engineer.,Low,1,1.9
1367,Engineering,Data Engineer,171,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,5,3.32
1368,Engineering,QA Engineer,175,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,8,13.11
1369,Customer Support,Technical Support,83,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,4,7.03
1370,Engineering,Backend Engineer,63,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,2,3.39
1371,Operations,Operations Associate,198,Inventory check,Inventory check for operations team by operations associate.,Low,2,2.84
1372,Customer Support,Technical Support,61,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,7,10.05
1373,Engineering,QA Engineer,11,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,4,0.58
1374,Engineering,Data Engineer,94,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,3,3.49
1375,Customer Support,Support Agent,122,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,6,3.36
1376,Engineering,Frontend Engineer,17,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,4,0.86
1377,Engineering,Backend Engineer,72,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,8,11.75
1378,Marketing,SEO Specialist,17,Email campaign setup,Email campaign setup for marketing team by seo specialist.,Medium,2,1.55
1379,Marketing,Social Media Manager,189,Write blog post,Write blog post for marketing team by social media manager.,Low,3,2.95
1380,Engineering,Backend Engineer,185,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,2,3.96
1381,Marketing,SEO Specialist,9,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,1,0.5
1382,Engineering,QA Engineer,49,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,5,10.97
1383,Engineering,Frontend Engineer,48,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,1,3.82
1384,Finance,Accountant,121,Invoice processing,Invoice processing for finance team by accountant.,Low,3,7.64
1385,Marketing,SEO Specialist,196,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,2,4.45
1386,Engineering,QA Engineer,64,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,4,0.5
1387,Engineering,Frontend Engineer,43,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,8,5.03
1388,Operations,Logistics Coordinator,97,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,8,5.17
1389,Finance,Accountant,83,Invoice processing,Invoice processing for finance team by accountant.,Low,6,12.3
1390,Finance,Accountant,42,Invoice processing,Invoice processing for finance team by accountant.,Low,2,0.5
1391,Engineering,Backend Engineer,30,Integration testing,Integration testing for engineering team by backend engineer.,Low,5,3.42
1392,Customer Support,Support Agent,106,Escalate request,Escalate request for customer support team by support agent.,Low,1,0.5
1393,Operations,Logistics Coordinator,9,Inventory check,Inventory check for operations team by logistics coordinator.,Low,1,0.5
1394,Customer Support,Support Agent,191,Escalate request,Escalate request for customer support team by support agent.,Low,8,9.46
1395,Engineering,Backend Engineer,4,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,5,5.14
1396,Engineering,Data Engineer,13,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,5,5.84
1397,Marketing,Social Media Manager,183,Competitor research,Competitor research for marketing team by social media manager.,Low,8,13.01
1398,Engineering,Frontend Engineer,22,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,6,8.47
1399,Operations,Operations Associate,10,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,1,3.62
1400,Operations,Operations Associate,105,Resource planning,Resource planning for operations team by operations associate.,Medium,4,5.96
1401,Engineering,Frontend Engineer,136,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,5,1.94
1402,Marketing,Content Writer,54,Write blog post,Write blog post for marketing team by content writer.,Low,6,5.16
1403,Marketing,SEO Specialist,128,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,7,9.43
1404,Operations,Operations Associate,7,Inventory check,Inventory check for operations team by operations associate.,Low,5,9.32
1405,Engineering,Frontend Engineer,6,Integration testing,Integration testing for engineering team by frontend engineer.,Low,6,2.56
1406,Operations,Operations Associate,75,Inventory check,Inventory check for operations team by operations associate.,Low,2,1.6
1407,Marketing,Social Media Manager,177,Write blog post,Write blog post for marketing team by social media manager.,Low,7,9.86
1408,Operations,Operations Associate,20,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,5,3.65
1409,Engineering,Frontend Engineer,7,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,8,10.79
1410,Customer Support,Technical Support,56,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,7,4.69
1411,Engineering,Backend Engineer,76,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,1,0.5
1412,Engineering,Backend Engineer,54,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,8,12.36
1413,Finance,Financial Analyst,39,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,4,0.5
1414,Operations,Operations Associate,41,Process documentation,Process documentation for operations team by operations associate.,Low,7,5.31
1415,Operations,Operations Associate,114,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,8,10.29
1416,Finance,Financial Analyst,196,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,5,1.19
1417,Customer Support,Technical Support,34,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,8,7.35
1418,Customer Support,Support Agent,107,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,4,1.92
1419,Finance,Accountant,85,Create budget forecast,Create budget forecast for finance team by accountant.,Low,4,1.48
1420,Operations,Logistics Coordinator,95,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,2,0.5
1421,Engineering,Backend Engineer,143,Database schema update,Database schema update for engineering team by backend engineer.,Medium,3,4.9
1422,Engineering,Data Engineer,174,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,2,8.77
1423,Operations,Operations Associate,143,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,1,3.3
1424,Engineering,Frontend Engineer,70,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,8,11.42
1425,Engineering,QA Engineer,25,Database schema update,Database schema update for engineering team by qa engineer.,Medium,7,7.5
1426,Engineering,QA Engineer,134,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,4,0.5
1427,Operations,Operations Associate,106,Process documentation,Process documentation for operations team by operations associate.,Low,7,9.27
1428,Operations,Operations Associate,82,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,7,6.66
1429,Engineering,Data Engineer,61,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,8,11.11
1430,Operations,Logistics Coordinator,200,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,2,0.5
1431,Engineering,QA Engineer,77,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,6,8.26
1432,Engineering,QA Engineer,7,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,1,4.64
1433,Marketing,SEO Specialist,80,Write blog post,Write blog post for marketing team by seo specialist.,Low,3,0.76
1434,Marketing,SEO Specialist,75,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,6,9.69
1435,Operations,Logistics Coordinator,187,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,1,0.5
1436,Engineering,Backend Engineer,191,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,3,4.8
1437,Finance,Financial Analyst,120,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,4,12.6
1438,Engineering,QA Engineer,21,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,2,3.23
1439,Operations,Logistics Coordinator,124,Process documentation,Process documentation for operations team by logistics coordinator.,Low,7,6.86
1440,Engineering,Data Engineer,153,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,4,5.2
1441,Engineering,Frontend Engineer,123,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,2,4.12
1442,Engineering,Data Engineer,48,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,5,5.69
1443,Engineering,Backend Engineer,102,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,7,6.0
1444,Engineering,Frontend Engineer,168,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,5,4.13
1445,Engineering,Backend Engineer,94,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,2,0.5
1446,Engineering,QA Engineer,61,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,2,1.92
1447,Engineering,QA Engineer,47,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,6,4.72
1448,Marketing,Content Writer,51,Write blog post,Write blog post for marketing team by content writer.,Low,2,2.24
1449,Engineering,QA Engineer,199,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,6,6.56
1450,Engineering,Data Engineer,184,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,4,8.44
1451,Engineering,Backend Engineer,157,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,8,10.01
1452,Customer Support,Support Agent,51,Escalate request,Escalate request for customer support team by support agent.,Low,2,3.78
1453,Engineering,Data Engineer,82,Write unit tests,Write unit tests for engineering team by data engineer.,Low,4,2.54
1454,Operations,Logistics Coordinator,88,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,1,1.45
1455,Marketing,Social Media Manager,1,Ad campaign optimization,Ad campaign optimization for marketing team by social media manager.,Medium,4,10.8
1456,Marketing,SEO Specialist,76,Email campaign setup,Email campaign setup for marketing team by seo specialist.,Medium,8,12.98
1457,Engineering,QA Engineer,186,Integration testing,Integration testing for engineering team by qa engineer.,Low,3,4.17
1458,Operations,Logistics Coordinator,169,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,8,4.66
1459,Engineering,Data Engineer,158,Integration testing,Integration testing for engineering team by data engineer.,Low,6,9.7
1460,Operations,Logistics Coordinator,10,Inventory check,Inventory check for operations team by logistics coordinator.,Low,2,7.41
1461,Engineering,QA Engineer,24,Integration testing,Integration testing for engineering team by qa engineer.,Low,8,14.06
1462,Operations,Logistics Coordinator,181,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7,6.97
1463,Engineering,QA Engineer,25,Database schema update,Database schema update for engineering team by qa engineer.,Medium,2,0.5
1464,Finance,Accountant,78,Create budget forecast,Create budget forecast for finance team by accountant.,Low,3,3.54
1465,Finance,Financial Analyst,13,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,5,7.31
1466,Engineering,QA Engineer,124,Integration testing,Integration testing for engineering team by qa engineer.,Low,5,7.14
1467,Engineering,QA Engineer,60,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,1,0.5
1468,Engineering,Data Engineer,44,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,3,2.42
1469,Engineering,QA Engineer,153,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,8,8.3
1470,Engineering,QA Engineer,166,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,3,6.45
1471,Finance,Accountant,74,Variance analysis,Variance analysis for finance team by accountant.,Medium,4,11.05
1472,Engineering,QA Engineer,18,Database schema update,Database schema update for engineering team by qa engineer.,Medium,1,1.12
1473,Engineering,Backend Engineer,147,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,5,7.67
1474,Engineering,Frontend Engineer,118,Integration testing,Integration testing for engineering team by frontend engineer.,Low,8,13.44
1475,Finance,Accountant,179,Create budget forecast,Create budget forecast for finance team by accountant.,Low,2,3.0
1476,Finance,Accountant,159,Invoice processing,Invoice processing for finance team by accountant.,Low,7,3.2
1477,Marketing,SEO Specialist,135,Write blog post,Write blog post for marketing team by seo specialist.,Low,2,2.62
1478,Engineering,Data Engineer,131,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,4,3.58
1479,Engineering,Backend Engineer,39,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,8,12.58
1480,Engineering,Frontend Engineer,33,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,6,9.82
1481,Marketing,Social Media Manager,82,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,3,1.88
1482,Operations,Logistics Coordinator,178,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,7,9.14
1483,Engineering,Frontend Engineer,168,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,8,9.14
1484,Engineering,QA Engineer,47,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,3,3.9
1485,Engineering,Data Engineer,19,Integration testing,Integration testing for engineering team by data engineer.,Low,7,7.4
1486,Engineering,Backend Engineer,127,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,1,1.77
1487,Engineering,Backend Engineer,4,Database schema update,Database schema update for engineering team by backend engineer.,Medium,8,7.53
1488,Finance,Financial Analyst,142,Invoice processing,Invoice processing for finance team by financial analyst.,Low,8,8.86
1489,Engineering,Frontend Engineer,16,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,4,5.06
1490,Customer Support,Support Agent,14,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,7,7.39
1491,Customer Support,Technical Support,23,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,8,11.96
1492,Finance,Accountant,11,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,2,3.56
1493,Engineering,Data Engineer,59,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,4,0.9
1494,Engineering,QA Engineer,146,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,2,3.94
1495,Engineering,Frontend Engineer,89,Refactor UI component,Refactor UI component for engineering team by frontend engineer.,Low,2,0.5
1496,Engineering,Frontend Engineer,195,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,7,10.77
1497,Engineering,Backend Engineer,85,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,7,5.56
1498,Engineering,Data Engineer,33,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,8,7.47
1499,Finance,Accountant,151,Invoice processing,Invoice processing for finance team by accountant.,Low,8,10.05
1500,Engineering,Backend Engineer,54,Integration testing,Integration testing for engineering team by backend engineer.,Low,2,0.5
1501,Engineering,QA Engineer,115,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,8,2.58
1502,Engineering,Data Engineer,160,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,3,5.19
1503,Customer Support,Support Agent,117,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,7,14.04
1504,Engineering,Frontend Engineer,36,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,6,3.31
1505,Engineering,QA Engineer,90,Integration testing,Integration testing for engineering team by qa engineer.,Low,3,7.24
1506,Engineering,Backend Engineer,156,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,1,0.5
1507,Operations,Operations Associate,105,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,8,11.25
1508,Finance,Accountant,143,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,8,8.78
1509,Customer Support,Support Agent,108,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,5,3.0
1510,Engineering,Frontend Engineer,44,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,5,2.25
1511,Operations,Operations Associate,121,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,1,0.5
1512,Customer Support,Support Agent,162,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,4,6.27
1513,Engineering,QA Engineer,36,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,5,7.34
1514,Engineering,Frontend Engineer,119,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,7,11.62
1515,Engineering,Backend Engineer,37,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,2,4.65
1516,Engineering,Data Engineer,189,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,8,12.24
1517,Engineering,QA Engineer,154,Database schema update,Database schema update for engineering team by qa engineer.,Medium,7,11.87
1518,Customer Support,Technical Support,166,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,1,1.79
1519,Finance,Accountant,82,Variance analysis,Variance analysis for finance team by accountant.,Medium,3,1.49
1520,Marketing,Social Media Manager,59,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,4,5.98
1521,Engineering,Data Engineer,135,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,3,0.5
1522,Engineering,Backend Engineer,84,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,1,1.78
1523,Engineering,Frontend Engineer,65,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,8,5.54
1524,Engineering,Data Engineer,147,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,8,12.4
1525,Operations,Operations Associate,127,Process documentation,Process documentation for operations team by operations associate.,Low,7,3.34
1526,Engineering,Backend Engineer,117,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,2,2.59
1527,Engineering,QA Engineer,171,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,3,10.43
1528,Customer Support,Support Agent,93,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,7,1.34
1529,Marketing,Social Media Manager,186,Email campaign setup,Email campaign setup for marketing team by social media manager.,Medium,2,0.5
1530,Engineering,Data Engineer,80,Integration testing,Integration testing for engineering team by data engineer.,Low,4,3.76
1531,Engineering,Frontend Engineer,192,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,6,5.52
1532,Operations,Operations Associate,112,Process documentation,Process documentation for operations team by operations associate.,Low,5,0.5
1533,Customer Support,Technical Support,200,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,8,10.17
1534,Finance,Financial Analyst,104,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,8,2.86
1535,Engineering,Data Engineer,45,Write unit tests,Write unit tests for engineering team by data engineer.,Low,8,7.5
1536,Marketing,Content Writer,176,Keyword research,Keyword research for marketing team by content writer.,Low,8,5.42
1537,Engineering,Backend Engineer,195,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,5,8.43
1538,Finance,Accountant,172,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,8,8.15
1539,Marketing,Content Writer,164,Keyword research,Keyword research for marketing team by content writer.,Low,8,8.12
1540,Operations,Logistics Coordinator,71,Inventory check,Inventory check for operations team by logistics coordinator.,Low,1,2.63
1541,Marketing,SEO Specialist,93,Write blog post,Write blog post for marketing team by seo specialist.,Low,7,9.04
1542,Engineering,Data Engineer,174,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,5,10.65
1543,Marketing,SEO Specialist,119,Keyword research,Keyword research for marketing team by seo specialist.,Low,6,6.57
1544,Operations,Operations Associate,21,Inventory check,Inventory check for operations team by operations associate.,Low,4,1.17
1545,Engineering,Frontend Engineer,15,Refactor UI component,Refactor UI component for engineering team by frontend engineer.,Low,4,3.0
1546,Engineering,QA Engineer,45,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,6,9.01
1547,Operations,Logistics Coordinator,178,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,3,3.47
1548,Engineering,QA Engineer,23,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,4,7.26
1549,Engineering,QA Engineer,43,Integration testing,Integration testing for engineering team by qa engineer.,Low,4,5.74
1550,Marketing,Content Writer,42,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,5,5.46
1551,Operations,Logistics Coordinator,152,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7,8.76
1552,Marketing,Content Writer,28,Competitor research,Competitor research for marketing team by content writer.,Low,4,5.79
1553,Engineering,Backend Engineer,153,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,6,4.06
1554,Marketing,Content Writer,60,Competitor research,Competitor research for marketing team by content writer.,Low,8,7.76
